produto,doadores,receptores,transferencia_total
8120 - MACAQUINHO LISO C BOLSO REF:7293,"DELICADA ITAGUAI - LOJA: 33.0
DELICADA PAVUNA: 20.0
DELICADA - SJM: 15.0",DELICADA RP - LOJA: -10.0,-10.0
"8074 - BERMUDA P/B MASC REF:198438,198414","DELICADA ITAGUAI - LOJA: 9.0
DELICADA PAVUNA: 15.0",DELICADA RP - LOJA: -10.0,-10.0
"8162 - SHORT PLUS DIVERSOS REF:95605,95520",DELICADA PAVUNA: 63.0,"DELICADA RP - LOJA: -2.0
DELICADA ITAGUAI - LOJA: -8.0",-10.0
7247 - REGATA MASC AD BASIC,"DELICADA ITAGUAI - LOJA: 114.0
DELICADA PAVUNA: 4.0",DELICADA RP - LOJA: -10.0,-10.0
8097 - SHORT LISO C CINTO REF:7363,"DELICADA ITAGUAI - LOJA: 15.0
DELICADA PAVUNA: 23.0",DELICADA RP - LOJA: -10.0,-10.0
8122 - SHORT SAIA REF:6713,"DELICADA ITAGUAI - LOJA: 31.0
DELICADA PAVUNA: 37.0",DELICADA RP - LOJA: -10.0,-10.0
8193 - BLUSA EST PEDRINHA REF:WN126,"DELICADA RP - LOJA: 4.0
DELICADA PAVUNA: 37.0","DELICADA ITAGUAI - LOJA: -6.0
DELICADA - SJM: -4.0",-10.0
7055 - VESTIDO LONGO ESTAMPADO REF:154E,"DELICADA PAVUNA: 11.0
DELICADA - SJM: 0.0","DELICADA RP - LOJA: -8.0
DELICADA ITAGUAI - LOJA: -2.0",-10.0
8103 - CROPPED LISO ARGOLA REF:7300,"DELICADA ITAGUAI - LOJA: 31.0
DELICADA PAVUNA: 18.0",DELICADA RP - LOJA: -10.0,-10.0
7424 - SHORT FEM - REF: 100377,DELICADA RP - LOJA: 10.0,"DELICADA PAVUNA: -5.0
DELICADA - SJM: -4.0",-9.0
"8075 - BERMUDA MASC JEZZ REF:209886,212107,210475",DELICADA RP - LOJA: 38.0,DELICADA ITAGUAI - LOJA: -9.0,-9.0
8186 - CROPPED LISO DET ARGOLA REF:7336,"DELICADA ITAGUAI - LOJA: 21.0
DELICADA PAVUNA: 31.0",DELICADA RP - LOJA: -8.0,-8.0
7553 - REGATA GOLA EST,DELICADA - SJM: 106.0,DELICADA RP - LOJA: -8.0,-8.0
7998 - MACAQUINHO BICOLOR REF:3208,"DELICADA RP - LOJA: 8.0
DELICADA PAVUNA: 4.0
DELICADA - SJM: 55.0",DELICADA ITAGUAI - LOJA: -8.0,-8.0
7693 - SHORT PLUS JEANS BORDADO REF:B1052,DELICADA PAVUNA: 12.0,DELICADA RP - LOJA: -8.0,-8.0
8152 - REGATA MODAL REF:ZBY45282,"DELICADA RP - LOJA: 5.0
DELICADA PAVUNA: 4.0",DELICADA ITAGUAI - LOJA: -8.0,-8.0
4604 - CUECA BOX CALVIN,"DELICADA RP - LOJA: 54.0
DELICADA ITAGUAI - LOJA: 84.0",DELICADA PAVUNA: -8.0,-8.0
"7565 - BERMUDA JOGGER CARGO MASC BEGE,VERDE, CINZA,PRETA","DELICADA RP - LOJA: 55.0
DELICADA PAVUNA: 64.0",DELICADA ITAGUAI - LOJA: -8.0,-8.0
8137 - CROPPED CANELADO LISO,"DELICADA ITAGUAI - LOJA: 77.0
DELICADA - SJM: 2.0",DELICADA PAVUNA: -8.0,-8.0
8001 - CONJ KIMONO+CROPPED LISTRADO TAM U REF:3252,DELICADA PAVUNA: 23.0,DELICADA RP - LOJA: -7.0,-7.0
8019 - CROPPED S/ ALCA DET BICO REF:3283,"DELICADA RP - LOJA: 10.0
DELICADA ITAGUAI - LOJA: 167.0
DELICADA - SJM: 17.0",DELICADA PAVUNA: -7.0,-7.0
7162 - BLUSA DUNA LISA REF:2248,"DELICADA RP - LOJA: 128.0
DELICADA ITAGUAI - LOJA: 42.0
DELICADA - SJM: 34.0",DELICADA PAVUNA: -7.0,-7.0
7835 - BLUSA SINO DUNA EST REF:1907,DELICADA RP - LOJA: 76.0,DELICADA ITAGUAI - LOJA: -7.0,-7.0
1091 - SOBRELEG C/ MANGA,"DELICADA ITAGUAI - LOJA: 12.0
DELICADA - SJM: 78.0",DELICADA RP - LOJA: -7.0,-7.0
8126 - CROPPED VIES CANELADO,"DELICADA ITAGUAI - LOJA: 61.0
DELICADA - SJM: 18.0",DELICADA PAVUNA: -7.0,-7.0
"7686 - CALCA MASC SLIM PREMIUM REF:10888,11548,11552","DELICADA RP - LOJA: 17.0
DELICADA PAVUNA: 31.0",DELICADA ITAGUAI - LOJA: -7.0,-7.0
8159 - SHORT LISO C CINTO PRETO FEM REF:Y246,"DELICADA RP - LOJA: 27.0
DELICADA PAVUNA: 7.0
DELICADA - SJM: 17.0",DELICADA ITAGUAI - LOJA: -7.0,-7.0
8102 - VESTIDO LISO DET ARGOLA REF:7301,"DELICADA ITAGUAI - LOJA: 38.0
DELICADA PAVUNA: 26.0",DELICADA RP - LOJA: -6.0,-6.0
8133 - CROPPED BOTOES REF:7323,"DELICADA ITAGUAI - LOJA: 21.0
DELICADA PAVUNA: 15.0",DELICADA RP - LOJA: -6.0,-6.0
8132 - SHORT LISO REF:7322,"DELICADA ITAGUAI - LOJA: 16.0
DELICADA PAVUNA: 18.0",DELICADA RP - LOJA: -6.0,-6.0
"1025 - CALCINHA COTTON SORTIDA REF:001,003,006,018,021,017","DELICADA RP - LOJA: 691.0
DELICADA ITAGUAI - LOJA: 563.0
DELICADA PAVUNA: 39.0",DELICADA - SJM: -6.0,-6.0
7612 - REGATA GOLA ENRUGADA EST REF:2132,DELICADA - SJM: 13.0,DELICADA PAVUNA: -6.0,-6.0
8311 - CROPPED MANGA SINO LISO REF:181L,"DELICADA ITAGUAI - LOJA: 29.0
DELICADA PAVUNA: 31.0
DELICADA - SJM: 24.0",DELICADA RP - LOJA: -6.0,-6.0
3157 - REGATA GOLA ALTA BOJO REF:19,"DELICADA RP - LOJA: 45.0
DELICADA ITAGUAI - LOJA: 48.0
DELICADA PAVUNA: 61.0",DELICADA - SJM: -6.0,-6.0
7662 - CALCA DE TRICOT,DELICADA PAVUNA: 20.0,DELICADA ITAGUAI - LOJA: -6.0,-6.0
3602 - VESTIDO VISCOSE ESTAMPADO ALCA REGULAVEL,"DELICADA ITAGUAI - LOJA: 2.0
DELICADA PAVUNA: 5.0
DELICADA - SJM: 20.0",DELICADA RP - LOJA: -6.0,-6.0
1304 - CAMISOLA DENIZE REF:003,"DELICADA ITAGUAI - LOJA: 16.0
DELICADA PAVUNA: 30.0
DELICADA - SJM: 25.0",DELICADA RP - LOJA: -6.0,-6.0
"7166 - BLUSA GOLA EST M.G,GG REF:2763","DELICADA RP - LOJA: 61.0
DELICADA ITAGUAI - LOJA: 22.0
DELICADA PAVUNA: 6.0",DELICADA - SJM: -6.0,-6.0
7722 - SHORT JEANS FEM DET CORRENTE REF:8529,DELICADA RP - LOJA: 27.0,DELICADA PAVUNA: -6.0,-6.0
7774 - BERMUDA MASC COLLOR PT,"DELICADA ITAGUAI - LOJA: 17.0
DELICADA PAVUNA: 34.0",DELICADA RP - LOJA: -6.0,-6.0
7566 - CAMISA LINHO SOCIAL MASC REF:6624,DELICADA RP - LOJA: 59.0,DELICADA ITAGUAI - LOJA: -6.0,-6.0
"7685 - CALCA SKINNY FEM COS ALTO UP REF:6074,6082","DELICADA RP - LOJA: 58.0
DELICADA PAVUNA: 1.0
DELICADA - SJM: 0.0",DELICADA ITAGUAI - LOJA: -5.0,-5.0
8123 - REGATA DET GOLA REF:7324,"DELICADA ITAGUAI - LOJA: 5.0
DELICADA PAVUNA: 2.0",DELICADA RP - LOJA: -5.0,-5.0
7425 - BERMUDA JEANS REF: 100117,"DELICADA RP - LOJA: 19.0
DELICADA PAVUNA: 9.0","DELICADA ITAGUAI - LOJA: -1.0
DELICADA - SJM: -4.0",-5.0
"7041 - CALCA JEANS BASICA REF:55844,55847,55848,55845","DELICADA RP - LOJA: 9.0
DELICADA PAVUNA: 29.0",DELICADA - SJM: -5.0,-5.0
7038 - CAMISOLA RENDA REF:082,DELICADA - SJM: 32.0,DELICADA ITAGUAI - LOJA: -5.0,-5.0
7981 - SHORT CREPE BABADO EST P AO GG REF:3215,"DELICADA ITAGUAI - LOJA: 19.0
DELICADA PAVUNA: 25.0
DELICADA - SJM: 17.0",DELICADA RP - LOJA: -5.0,-5.0
7150 - CONJ INTIMO RENDADO P AO GG REF:020,DELICADA - SJM: 31.0,DELICADA RP - LOJA: -5.0,-5.0
7168 - CALCA CANELADA LISA REF:2696,"DELICADA RP - LOJA: 31.0
DELICADA ITAGUAI - LOJA: 10.0
DELICADA PAVUNA: 0.0",DELICADA - SJM: -4.0,-4.0
6017 - REGATA ALCA LISO PLUS REF:211L,"DELICADA ITAGUAI - LOJA: 4.0
DELICADA PAVUNA: 5.0
DELICADA - SJM: 8.0",DELICADA RP - LOJA: -4.0,-4.0
5718 - CAMISOLA PLUS REF:024,DELICADA ITAGUAI - LOJA: 26.0,DELICADA RP - LOJA: -4.0,-4.0
8106 - CROPPED MALHA REF:7395,"DELICADA ITAGUAI - LOJA: 0.0
DELICADA PAVUNA: 14.0
DELICADA - SJM: 35.0",DELICADA RP - LOJA: -4.0,-4.0
8487 - CROPPED FAIXA NO LISO REF:3354,"DELICADA RP - LOJA: 35.0
DELICADA ITAGUAI - LOJA: 18.0",DELICADA PAVUNA: -4.0,-4.0
7846 - SHORT FEM VERAO ELASTANO,"DELICADA RP - LOJA: 52.0
DELICADA ITAGUAI - LOJA: 57.0",DELICADA PAVUNA: -4.0,-4.0
7724 - SHORT SAIA JEANS FEM REF:84001,"DELICADA RP - LOJA: 6.0
DELICADA PAVUNA: 4.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
8066 - BLUSA MM PLUS SIZE REF:502333,"DELICADA RP - LOJA: 1.0
DELICADA ITAGUAI - LOJA: 5.0",DELICADA PAVUNA: -4.0,-4.0
8538 - SHORT DOLL CANELADO REF:218F,"DELICADA RP - LOJA: 30.0
DELICADA ITAGUAI - LOJA: 37.0
DELICADA PAVUNA: 48.0",DELICADA - SJM: -4.0,-4.0
8003 - CONJ BLUSA BABADO + SHORT TAM U REF:3264,"DELICADA RP - LOJA: 20.0
DELICADA PAVUNA: 38.0
DELICADA - SJM: 28.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
7990 - CONJ CALCA .+ CROPPED REF:3265,"DELICADA RP - LOJA: 16.0
DELICADA PAVUNA: 11.0
DELICADA - SJM: 18.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
7587 - REGATA VISCO 3 BOTOES REF:2,"DELICADA RP - LOJA: 57.0
DELICADA PAVUNA: 0.0
DELICADA - SJM: 3.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
7830 - CROPPED DUPLO EST REF:170E,"DELICADA ITAGUAI - LOJA: 25.0
DELICADA PAVUNA: 0.0
DELICADA - SJM: 0.0",DELICADA RP - LOJA: -3.0,-3.0
8507 - BIQUINI REF:3372,DELICADA RP - LOJA: 3.0,DELICADA ITAGUAI - LOJA: -3.0,-3.0
7735 - TOP ALCA 3D REF: 543,DELICADA PAVUNA: 7.0,DELICADA - SJM: -3.0,-3.0
7775 - SHORT COLLOR FEM PT,"DELICADA RP - LOJA: 96.0
DELICADA PAVUNA: 31.0
DELICADA - SJM: 7.0",DELICADA ITAGUAI - LOJA: -3.0,-3.0
6070 - REGATA 3 BOTOES LISA/EST REF:1600,"DELICADA RP - LOJA: 131.0
DELICADA ITAGUAI - LOJA: 22.0
DELICADA - SJM: 20.0",DELICADA PAVUNA: -3.0,-3.0
8185 - SHORT FEM LISO REF:7337,DELICADA PAVUNA: 42.0,DELICADA RP - LOJA: -2.0,-2.0
8491 - KIT 3X1 MEIAS HOAHI SAPATILHA LISA MASC REF: 22001,DELICADA PAVUNA: 139.0,DELICADA RP - LOJA: -2.0,-2.0
8497 - CONJ KIMONO + SHORT EST REF:3176,"DELICADA RP - LOJA: 31.0
DELICADA ITAGUAI - LOJA: 8.0",DELICADA PAVUNA: -2.0,-2.0
8172 - VESTIDO INDIANO LONGO REF:YD3005,DELICADA PAVUNA: 2.0,DELICADA ITAGUAI - LOJA: -2.0,-2.0
7661 - SAIA DE PRAIA,"DELICADA RP - LOJA: 44.0
DELICADA PAVUNA: 30.0
DELICADA - SJM: 33.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
7760 - SHORT VISCO C/BOLSO LISO,DELICADA - SJM: 15.0,DELICADA PAVUNA: -2.0,-2.0
"4231 - CALCA MASC CASUAL FIT REF:81,82,83,84",DELICADA PAVUNA: 5.0,DELICADA ITAGUAI - LOJA: -2.0,-2.0
5712 - CALCA FEM TOP GRIFF,DELICADA - SJM: 8.0,DELICADA PAVUNA: -2.0,-2.0
5965 - CAMISOLA RENDA REF:198MBL,"DELICADA ITAGUAI - LOJA: 7.0
DELICADA - SJM: 48.0",DELICADA RP - LOJA: -2.0,-2.0
7047 - SHORT JEANS ELAST REF:850,"DELICADA RP - LOJA: 12.0
DELICADA PAVUNA: 1.0",DELICADA - SJM: -2.0,-2.0
7180 - SHORT JEANS FARMY REF:8468,"DELICADA RP - LOJA: 4.0
DELICADA PAVUNA: 5.0",DELICADA - SJM: -2.0,-2.0
7983 - SHORT CAMURCA P AO GG REF:3259,"DELICADA RP - LOJA: 41.0
DELICADA ITAGUAI - LOJA: 6.0
DELICADA PAVUNA: 23.0",DELICADA - SJM: -2.0,-2.0
7414 - CALCA CANELADA REF:23192,DELICADA - SJM: 7.0,DELICADA PAVUNA: -2.0,-2.0
7422 - SHORT JEANS REF:51101C,DELICADA RP - LOJA: 7.0,DELICADA - SJM: -2.0,-2.0
7561 - BERMUDA SARJA MASC,"DELICADA RP - LOJA: 1.0
DELICADA PAVUNA: 29.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
7644 - CONJ ALFAIATARIA BICOLOR REF:3048,"DELICADA RP - LOJA: 21.0
DELICADA PAVUNA: 8.0
DELICADA - SJM: 38.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
1540 - CONJ SHORT + KIMONO REF:048+049,"DELICADA RP - LOJA: 2.0
DELICADA PAVUNA: 10.0
DELICADA - SJM: 0.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
7719 - SHORT JEANS FEM BRILHO REF: 7286,DELICADA PAVUNA: 7.0,DELICADA RP - LOJA: -2.0,-2.0
"7159 - COLETE BOTOES LISO TAM P,M,G REF:2631","DELICADA RP - LOJA: 18.0
DELICADA ITAGUAI - LOJA: 22.0",DELICADA PAVUNA: -1.0,-1.0
7054 - VESTIDO LONGO LISO ALCA REG REF:154L,"DELICADA RP - LOJA: 34.0
DELICADA - SJM: 10.0",DELICADA PAVUNA: -1.0,-1.0
7723 - SHORT JEANS FEM DET BORDADO REF:8512,"DELICADA ITAGUAI - LOJA: 2.0
DELICADA PAVUNA: 7.0",DELICADA RP - LOJA: -1.0,-1.0
7421 - SHORT FEM REF:100398,DELICADA RP - LOJA: 17.0,DELICADA - SJM: -1.0,-1.0
1806 - CAMISOLA BOJO DE RENDA,DELICADA ITAGUAI - LOJA: 5.0,DELICADA RP - LOJA: -1.0,-1.0
